Resource,Id,Value,DisplayName,PermissionType
Configuration Manager Microservice,fd7bf697-168c-45be-b7ba-e94b3529deff,user_impersonation,Have full access to the Skype Teams Service,Application
Configuration Manager Microservice,91d6f071-cbcb-48b9-baba-557f0f1f46bc,User.Read.All,Read all users' full profiles,Application
Configuration Manager Microservice,3ed42bc3-d6ed-4cf4-9531-d521e361223e,Region.ReadWrite.All,Read or write user region,Application
Configuration Manager Microservice,4f217d7c-5ea7-4dde-a269-9025b80f2cd5,AdminAppCatalog.Read.All,Read user app assignment,Application
Configuration Manager Microservice,b8a8280c-fe24-4c24-8b5a-74e833c2c018,UserLicense.Read.All,Read user license details,Application
Configuration Manager Microservice,0d9ce864-39e5-424f-8556-b68ce5dac482,Region.Read.All,Read user region,Application
Configuration Manager Microservice,fd7bf697-168c-45be-b7ba-e94b3529deff,user_impersonation,,Delegated
Configuration Manager Microservice,09be18e9-0ff4-4f30-bb6b-5b92aade000c,apps.read.all,,Delegated
Configuration Manager Microservice,60b1c89f-1cb7-4c03-886c-60986531eccf,Authorization.ReadWrite,,Delegated
Configuration Manager Microservice,6f47731f-d307-453d-a5fb-72c9d98ab40d,Region.ReadWrite,,Delegated
Microsoft Graph,a7a681dc-756e-4909-b988-f160edc6655f,Calls.AccessMedia.All,Access media streams in a call as an app,Application
Microsoft Graph,40dc41bc-0f7e-42ff-89bd-d9516947e474,FileStorageContainer.Selected,Access selected file storage containers,Application
Microsoft Graph,bd61925e-3bf4-4d62-bc0b-06b06c96d95c,Files.SelectedOperations.Selected,Access selected Files without a signed in user.,Application
Microsoft Graph,de4e4161-a10a-4dfd-809c-e328d89aefeb,ListItems.SelectedOperations.Selected,Access selected ListItems without a signed in user.,Application
Microsoft Graph,23c5a9bd-d900-4ecf-be26-a0689755d9e5,Lists.SelectedOperations.Selected,Access selected Lists without a signed in user.,Application
Microsoft Graph,883ea226-0bf2-4a8f-9f9d-92c9162a727d,Sites.Selected,Access selected site collections,Application
